word,sign,sovExample,category
accelerate,quick,I accelerate,Transportation
accelerating,quick,I accelerateing am,Transportation
accelerated,quick,I yesterday accelerateed,Transportation
account,work,I account,General
accounting,work,I accounting am,General
accounted,work,I yesterday accounted,General
ache,work,I ache,General
aching,work,I acheing am,General
ached,work,I yesterday acheed,General
add,add,I add,General
adding,add,I adding am,General
added,add,I yesterday added,General
aid,work,I aid,General
aiding,work,I aiding am,General
aided,work,I yesterday aided,General
alert,call,I people alert,Disaster Management
alerting,call,I alerting am,Disaster Management
alerted,call,I yesterday alerted,Disaster Management
alight,work,I alight,General
alighting,work,I alighting am,General
alighted,work,I yesterday alighted,General
align,work,I align,General
aligning,work,I aligning am,General
aligned,work,I yesterday aligned,General
allocate,divide,I allocate,General
allocating,divide,I allocateing am,General
allocated,divide,I yesterday allocateed,General
amazed,work,I amazed,General
amazeding,work,I amazeding am,General
angry,angry,I angry,General
angrying,angry,I angrying am,General
angryed,angry,I yesterday angryed,General
answer,answer,I answer,Communication
answering,answer,I answering am,Communication
answered,answer,I yesterday answered,Communication
argue,fight,I argue,General
arguing,fight,I argueing am,General
argued,fight,I yesterday argueed,General
arrange,order,I arrange,General
arranging,order,I arrangeing am,General
arranged,order,I yesterday arrangeed,General
arrest,catch,I arrest,Legal
arresting,catch,I arresting am,Legal
arrested,catch,I yesterday arrested,Legal
ascend,up,I ascend,General
ascending,up,I ascending am,General
ascended,up,I yesterday ascended,General
ask,work,I ask,Communication
asking,work,I asking am,Communication
asked,work,I yesterday asked,Communication
assemble,join,I assemble,General
assembling,join,I assembleing am,General
assembled,join,I yesterday assembleed,General
assist,work,I assist,General
assisting,work,I assisting am,General
assisted,work,I yesterday assisted,General
astonished,work,I astonished,General
astonisheding,work,I astonisheding am,General
attack,fight,I attack,General
attacking,fight,I attacking am,General
attacked,fight,I yesterday attacked,General
bag,bag,I bag,General
baging,bag,I baging am,General
baged,bag,I yesterday baged,General
bake,cook,I bake,Food Preparation
baking,cook,I bakeing am,Food Preparation
baked,cook,I yesterday bakeed,Food Preparation
